3605777	vec	Mi me ciamo Piero.
3605791	vec	Ti come te ciamito?
3605799	vec	Mi go vintitrì ani.
3605805	vec	Quanti ani ti gà?
3605814	vec	Da 'ndo ti vien?
3605829	vec	Bondì!
3605837	vec	Ben rivà!
3605867	vec	Podaresselo indicarme n'ostaria bona par magnar?
3605875	vec	El xè pena vegnù zo da le scale.
3746363	vec	Quanti ani gheto?
3754668	vec	Benvegnù!
3754675	vec	Da 'ndo vegnito?
3771449	vec	Me piàse zogar al balon.
3772539	vec	Un, dó, tre, quatro, zsinque, sie, sete, oto, nóve, diéxe.
4267520	vec	El Burj Khalifa desso xe el pì alto gratasielo del mondo.
5857171	vec	Te pol mia averghe ovo galina e cul caldo.
5978176	vec	Ea acqua xe vida.
7918613	vec	On, do, tri, cuatro, sinque, sié, sete, oto, nóve, diéxe.
8079402	vec	Saria mejo che te te butassi.
8080814	vec	İmprestame on pochi de schei.
8080815	vec	Ciapalo.
8080821	vec	Ah, ceste.
8082357	vec	Xe morto Tom.
8082364	vec	Tom xe morto.
8082366	vec	Vojo scalare la montagna.
9945918	vec	A So' drio devegner vècio
9945919	vec	Tom el pareva tanto stufo
9945921	vec	Vołeo che rèstee?
9945923	vec	El se recorda el dì inte el cuało ghemo vedesto el sbaro?
9945926	vec	A Go pena instałà un ajornamento stra-inportante
9945928	vec	El se ło ga desmentegà inte ła sugadora.
9945929	vec	Mary ła ga za scumisià
9945930	vec	Mary ła ga za tacà.
9945932	vec	Mi sò che sto omo ła te ga senpre amà
9945933	vec	No el staga inponerme łe so opinion.
9945934	vec	No te vè costruir łe università in Sudafrica.
9945936	vec	No vago inparar calcosa in Ìndia
9945937	vec	Ła zente saja ła inpara dai so nemighi.
9945938	vec	Łe persone saje łe inpara dai so nemighi
9945940	vec	"De che nasionałità zèrełe łe so Zie?" "Canadezi."
9945941	vec	Pian bianco, par piazer.
9945942	vec	Oh, no! Cosa ghe dizarò a Tom?
9945943	vec	Se ghemo catà?
9945944	vec	Se gavemo catà?
9945945	vec	Se ghemo catai?
9945946	vec	Tom no el vołea trasferirse cuà.
9945948	vec	Lu el ze in pijama.
9945950	vec	Eło el ze in pijama.
9945951	vec	Te ghè da fermarlo.
9945954	vec	Sto paco el dimanda un tratamento spesałe.
9945955	vec	Cuanti de chełi łà i zera łà?
9945956	vec	Mi mèrito de vegner repagà.
9945957	vec	Cuała zeła ła cavedałe de ła Spagna?
9945958	vec	Gràsie de ła lesion de finansa, maestro.
9945959	vec	Andrea el camina davanti a łe sarezare.
9945960	vec	Me àuguro che no łe vegna deportae.
9945961	vec	Gało tolto ła so onbreła sta matina?
9945962	vec	Te spusi de cica.
9945963	vec	Veto a costruir strade inte l'Arzentina?
9945964	vec	Dazighe i nostri conpliminti al shef.
9945965	vec	Me poso finalmente destirar cuà a l'onbria.
9945966	vec	Te rispetava.
9945967	vec	Mi no go mai robà gnente.
9945968	vec	Daghe a lori cheło che i vołe.
9945969	vec	Cheła dona łà ła ze Ana.
9945970	vec	Te me si drio tor in volta!
9945971	vec	Ti ghe jùtito a to mojere caza?
9945974	vec	E cosa pénsito de resòlvar cusita?
9945976	vec	Co te ghè tenpo, scolta sta intaresante intervista.
9945977	vec	Te sujeriso de tazer.
9945979	vec	Pòsoi portarli?
9945981	vec	Me par sol sèrio el mìnemo.
9945982	vec	Noialtri gavarìsimo da dasar ła sità.
9945983	vec	Ze stà tanto beło sentir sta roba cuà.
9945984	vec	Intrà łe sìmie ła capasità de comunegar ła ze stupefazente.
9945985	vec	Co ti anca do ore łe ze indesmentegàbiłi.
9945987	vec	El se lagna senpre par calcosa.
9945988	vec	Lezo na revista.
9945991	vec	Na volta so ndada a Boston co eło.
9945992	vec	El ga vivesto na vita inpegnada.
9945994	vec	La ga vivesto na vita inpegnada.
9945995	vec	Ndazio costruir scołe inte ła Lituània?
9945997	vec	Maria ła ga straonà.
9945999	vec	Sta cuà ła ze debołesa, a me parer.
9946000	vec	Zero bon de smirar el so corpo.
9946001	vec	Ła ze pì dura de ła ghiza!
9946002	vec	No ndemo far schei in Bangladesh?
9946003	vec	No ndazì far amisìsie in Austràlia.
9946004	vec	Par piazer, inpréstame ła to màchina.
9946005	vec	Go scumisià el libro.
9946006	vec	El ghe ga salvà ła vita a Tom do volte.
9946008	vec	A cosa servarà?
9946009	vec	Eło el ze intełijente.
9946010	vec	Sami el ga canbià el pian.
9946011	vec	Mi vujo parlar co lori.
9946012	vec	Sito acuzà?
9946013	vec	Mi so' pena vegnesto fora de prezon.
9946014	vec	Mi son pena vegnesto fora de prezon.
9946016	vec	El tegnarà l'infasadura par sìncue stimane
9946018	vec	Se pregar servise calcosa, i metaria ła zente par pregar a pagamento.
9946019	vec	Sta roba un fià ła me spusa.
9946020	vec	Me spero che el tórnee par łe sie
9946021	vec	Ghe ze na cołina picenina arente del mar.
9946022	vec	Come ze che se stua?
9946023	vec	Come ze che se smorsa?
9946025	vec	Scumisiemo co eła.
9946028	vec	Le cronpe de sto modeło łe zera vołae.
9946029	vec	Ne pùłito portar al British Museum?
9946030	vec	So' seguro de ver el nùmaro justo.
9946031	vec	Son seguro de ver el nùmaro justo.
9946033	vec	Tom el ze stravacà sol divan che el ze drio vardar ła TV.
9946034	vec	Mi so tanto dispiazesto par cheło che ze capità.
9946036	vec	Mi so' dispiazesto un mùcio par cheło che ze sucedesto.
9946037	vec	Me fradeło el ga cronpà na màchina doparada, de consevensa no ła costava tanto.
9946039	vec	Penseo veramente che Tom el podaria èsar inosente?
9946041	vec	Sì, sì, vegnarò co valtri.
9946044	vec	Sì, sì, vegnarò co voialtri.
9946045	vec	Sì, sì, vegnarò co vualtri.
9946047	vec	Sì, sì, vegnarò co vialtri.
9946049	vec	Tom el ghea dormio fin tardi.
9946051	vec	No ndè far cariera in Pakistan.
9946053	vec	Destribusion cuotidiani.
9946056	vec	Me pùłito dir el nome de chel'omo?
9946059	vec	Noialtri no semo boni de védar na steła sta note.
9946060	vec	Penso che ndarò far schełi inte l'Amèrica.
9946062	vec	De frecuente i curriculum cartàsei i vien descartai o ignorai.
9946176	vec	Gało fato ben el dotor?
9946177	vec	El ne ga fato capir che el zera drio sufrir in magnera stra-granda
9946179	vec	Ze capità prima che mi rivase.
9946180	vec	Ze sucedesto prima che rivase
